30584;# doc = relatives.2.txt;;;;;;;;;;;;;;;;
30585;# speaker = Алина;;;;;;;;;;;;;;;;
30586;# sent = 2346;;;;;;;;;;;;;;;;
30658;# sent = 2358;;;;;;;;;;;;;;;;
30659;;Ммм;МММ;INTJ;;;   _Ммм_   ;м;м;м;;;;S;МММ;S n inan loc sg;М
30660;;;;;;;;;;;;;;;;;
30661;# sent = 2359;;;;;;;;;;;;;;;;
30662;# speaker = Мирон;;;;;;;;;;;;;;;;
30663;# sent = 2360;;;;;;;;;;;;;;;;
30664;;Потому что;Потому что;CONJ;;;   _Потому что_ она дочь священника;о;т;ч; ;у;м;CONJ;Потому что;CONJ;о
30665;;она;ОНА;SPRO sg 3p f nom;;;  Потому что _она_ дочь священника /;а;н;о;;;;SPRO;ОНА;SPRO sg 3p f nom;А
30666;;дочь;ДОЧЬ;S f anim nom sg;;; Потому что она _дочь_ священника / Крылов;ь;ч;о;д;;;S;ДОЧЬ;S f anim nom sg;Ь
30667;;священника;СВЯЩЕННИК;S m anim gen sg;;;Потому что она дочь _священника_ / Крылов это;а;к;и;н;н;е;S;СВЯЩЕННИК;S m anim gen sg;К
30668;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
30669;;Крылов;КРЫЛОВ;S m anim nom sg;;;дочь священника / _Крылов_ это вообще обычно;в;о;л;ы;р;к;S;КРЫЛОВ;S m anim nom sg;В
30670;;это;ЭТО;SPRO n - nom sg;;;священника / Крылов _это_ вообще обычно фамилия;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
30671;;вообще;ВООБЩЕ;ADV -;;;/ Крылов это _вообще_ обычно фамилия священников;е;щ;б;о;о;в;ADV;ВООБЩЕ;ADV -;Е
30672;;обычно;ОБЫЧНО;ADV -;;;Крылов это вообще _обычно_ фамилия священников …;о;н;ч;ы;б;о;ADV;ОБЫЧНО;ADV -;О
30673;;фамилия;ФАМИЛИЯ;S f inan nom sg;;;это вообще обычно _фамилия_ священников … ;я;и;л;и;м;а;S;ФАМИЛИЯ;S f inan nom sg;Я
30674;;священников;СВЯЩЕННИК;S m anim gen pl;;;вообще обычно фамилия _священников_ …  ;в;о;к;и;н;н;S;СВЯЩЕННИК;S m anim gen pl;К
30675;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
30676;;;;;;;;;;;;;;;;;
30677;# sent = 2361;;;;;;;;;;;;;;;;
30678;# speaker = Алина;;;;;;;;;;;;;;;;
30679;# sent = 2362;;;;;;;;;;;;;;;;
30680;;М;М;NONLEX;слитно;;   _М_ - хм ;м;;;;;;INTJ;М;S - - nonflex -;М
30681;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
30682;;хм;ХМ;INTJ;;; М - _хм_   ;м;х;;;;;INTJ;ХМ;INTJ;М
30683;;;;;;;;;;;;;;;;;
30684;# sent = 2363;;;;;;;;;;;;;;;;
30685;# speaker = Мирон;;;;;;;;;;;;;;;;
30686;# sent = 2364;;;;;;;;;;;;;;;;
30687;;Или;ИЛИ;CONJ;;;   _Или_ потомков священников //;и;л;и;;;;CONJ;ИЛИ;CONJ;И
30688;;потомков;ПОТОМОК;S m anim gen pl;;;  Или _потомков_ священников // Эээ;в;о;к;м;о;т;S;ПОТОМОК;S m anim gen pl;К
30689;;священников;СВЯЩЕННИК;S m anim gen pl;;; Или потомков _священников_ // Эээ //;в;о;к;и;н;н;S;СВЯЩЕННИК;S m anim gen pl;К
30690;;//;//;PUNCT;;;;;;;;;;PUNCT;;;
30691;;Эээ;ЭЭЭ;NONLEX;;;потомков священников // _Эээ_ // На самом;э;э;э;;;;NONLEX;ЭЭЭ;NONLEX;Э
30692;;//;//;PUNCT;;;;;;;;;;PUNCT;;;
30693;;На;НА;PR;;;// Эээ // _На_ самом деле /;а;н;;;;;PR;НА;PR;А
30694;;самом;САМЫЙ;A - loc sg plen n -;;;Эээ // На _самом_ деле / её;м;о;м;а;с;;A;САМЫЙ;A - loc sg plen n -;Й
30695;;деле;ДЕЛО;S n inan loc sg;;;// На самом _деле_ / её /;е;л;е;д;;;S;ДЕЛО;S n inan loc sg;О
30696;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
30697;;её;ОНА;SPRO sg 3p f acc;;;самом деле / _её_ / от роду;ё;е;;;;;SPRO;ОНА;SPRO sg 3p f acc;А
30698;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
30699;;от;ОТ;PR;;;/ её / _от_ роду звали Сира;т;о;;;;;PR;ОТ;PR;Т
30700;;роду;РОД;S m inan gen2 sg;;;её / от _роду_ звали Сира /;у;д;о;р;;;S;РОД;S m inan dat sg;Д
30701;;звали;ЗВАТЬ;V ipf praet pl indic - -;;;/ от роду _звали_ Сира / но;и;л;а;в;з;;V;ЗВАТЬ;V ipf praet pl indic - -;Ь
30702;;Сира;СИРА;S f persn nom sg;;;от роду звали _Сира_ / но когда;а;р;и;с;;;S;СИР;S m anim acc sg;А
30703;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
30704;;но;НО;CONJ;;;звали Сира / _но_ когда ей исполнилось;о;н;;;;;CONJ;НО;CONJ;О
30705;;когда;КОГДА;CONJ;;;Сира / но _когда_ ей исполнилось восемнадцать;а;д;г;о;к;;CONJ;КОГДА;CONJ;А
30706;;ей;ОНА;SPRO sg 3p f dat;;;/ но когда _ей_ исполнилось восемнадцать /;й;е;;;;;SPRO;ОНА;SPRO sg 3p f dat;А
30707;;исполнилось;ИСПОЛНИТЬСЯ;V pf praet sg med n -;;;но когда ей _исполнилось_ восемнадцать / она;ь;с;о;л;и;н;V;ИСПОЛНИТЬСЯ;V pf praet sg indic n -;Я
30708;;восемнадцать;ВОСЕМНАДЦАТЬ;NUM nom - -;;;когда ей исполнилось _восемнадцать_ / она /;ь;т;а;ц;д;а;NUM;ВОСЕМНАДЦАТЬ;NUM acc - -;Ь
30709;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
30710;;она;ОНА;SPRO sg 3p f nom;;;исполнилось восемнадцать / _она_ / потеряла все;а;н;о;;;;SPRO;ОНА;SPRO sg 3p f nom;А
30711;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
30712;;потеряла;ПОТЕРЯТЬ;V pf praet sg indic f -;;;/ она / _потеряла_ все документы и;а;л;я;р;е;т;V;ПОТЕРЯТЬ;V pf praet sg indic f -;Ь
30713;;все;ВЕСЬ;APRO - acc pl plen - -;;;она / потеряла _все_ документы и поменяла;е;с;в;;;;APRO;ВЕСЬ;A - nom pl plen - -;Ь
30714;;документы;ДОКУМЕНТ;S m inan acc pl;;;/ потеряла все _документы_ и поменяла себе;ы;т;н;е;м;у;S;ДОКУМЕНТ;S m inan nom pl;Т
30715;;и;И;CONJ;;;потеряла все документы _и_ поменяла себе паспорт;и;;;;;;CONJ;И;CONJ;И
30716;;поменяла;ПОМЕНЯТЬ;V pf praet sg indic f -;;;все документы и _поменяла_ себе паспорт на;а;л;я;н;е;м;V;ПОМЕНЯТЬ;V pf praet sg indic f -;Ь
30717;;себе;СЕБЯ;SPRO - - - dat;;;документы и поменяла _себе_ паспорт на Сара;е;б;е;с;;;SPRO;СЕБЯ;SPRO - - - dat;Я
30718;;паспорт;ПАСПОРТ;S m inan acc sg;;;и поменяла себе _паспорт_ на Сара /;т;р;о;п;с;а;S;ПАСПОРТ;S m inan acc sg;Т
30719;;на;НА;PR;;;поменяла себе паспорт _на_ Сара / ну;а;н;;;;;PR;НА;PR;А
30720;;Сара;САРА;S f persn acc sg;;;себе паспорт на _Сара_ / ну потому что;а;р;а;с;;;S;САРА;S f anim nom sg;А
30721;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
30722;;ну;НУ;PART;;;на Сара / _ну_ потому что ее в;у;н;;;;;PART;НУ;PART;У
30723;;потому что;потому что;CONJ;;;Сара / ну _потому что_ ее в школе;о;т;ч; ;у;м;CONJ;потому что;CONJ;о
30724;;ее;ОНА;SPRO sg 3p f acc;;;/ ну потому что _ее_ в школе дразнили;е;е;;;;;SPRO;ОНА;SPRO sg 3p f acc;А
30725;;в;В;PR;;;ну потому что ее _в_ школе дразнили Сира;в;;;;;;PR;В;PR;В
30726;;школе;ШКОЛА;S f inan loc sg;;;потому что ее в _школе_ дразнили Сира -;е;л;о;к;ш;;S;ШКОЛА;S f inan loc sg;А
30727;;дразнили;ДРАЗНИТЬ;V ipf praet pl indic - -;;;ее в школе _дразнили_ Сира - засира;и;л;и;н;з;а;V;ДРАЗНИТЬ;V ipf praet pl indic - -;Ь
30728;;Сира;СИРA;S а persn nom sg;;;в школе дразнили _Сира_ - засира ;а;р;и;с;;;S;СИР;S m anim acc sg;A
30729;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
30730;;засира;ЗАСИРA;S f inan nom sg;;;дразнили Сира - _засира_   ;а;р;и;с;а;з;S;ЗАСИР;S f inan nom sg;A
30731;;;;;;;;;;;;;;;;;
30732;# sent = 2365;;;;;;;;;;;;;;;;
30733;# speaker = Алина;;;;;;;;;;;;;;;;
30734;# sent = 2366;;;;;;;;;;;;;;;;
30735;;Хорошая;ХОРОШИЙ;A - nom sg plen f -;;;   _Хорошая_ мотивация ! ;я;а;ш;о;р;о;A;ХОРОШИЙ;A - nom sg plen f -;Й
30736;;мотивация;МОТИВАЦИЯ;S f inan nom sg;;;  Хорошая _мотивация_ !  ;я;и;ц;а;в;и;S;МОТИВАЦИЯ;S f inan nom sg;Я
30737;;!;!;PUNCT;;;;;;;;;;PUNCT;;;
30738;;;;;;;;;;;;;;;;;
30739;# sent = 2367;;;;;;;;;;;;;;;;
30740;# speaker = Мирон;;;;;;;;;;;;;;;;
30741;# sent = 2368;;;;;;;;;;;;;;;;
30742;;Вот;ВОТ;PART;;;   _Вот_ // А потом;т;о;в;;;;PART;ВОТ;PART;Т
30743;;//;//;PUNCT;;;;;;;;;;PUNCT;;;
30744;;А;А;CONJ;;; Вот // _А_ потом / она;а;;;;;;CONJ;А;CONJ;А
30745;;потом;ПОТОМ;ADV -;;;Вот // А _потом_ / она и;м;о;т;о;п;;ADV;ПОТОМ;ADV -;М
30746;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
30747;;она;ОНА;SPRO sg 3p f nom;;;А потом / _она_ и ... имея;а;н;о;;;;SPRO;ОНА;SPRO sg 3p f nom;А
30748;;и;И;NONLEX;слитно;;потом / она _и_ ... имея в;и;;;;;;CONJ;И;CONJ;И
30749;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
30750;;имея;ИМЕТЬ;V ipf praes - ger - -;;;она и ... _имея_ в бумагах что;я;е;м;и;;;V;ИМЕТЬ;V ipf praes - ger - -;Ь
30751;;в;В;PR;;;и ... имея _в_ бумагах что его;в;;;;;;PR;В;PR;В
30752;;бумагах;БУМАГА;S f inan loc pl;;;... имея в _бумагах_ что его мать;х;а;г;а;м;у;S;БУМАГА;S f inan loc pl;А
30753;;что;ЧТО;CONJ;;;имея в бумагах _что_ его мать зовут;о;т;ч;;;;CONJ;ЧТО;CONJ;О
30754;;его;ОН;SPRO sg 3p m acc;;;в бумагах что _его_ мать зовут Сара;о;г;е;;;;SPRO;ОН;SPRO sg 3p m acc;Н
30755;;мать;МАТЬ;S f anim acc sg;;;бумагах что его _мать_ зовут Сара Алексеевна;ь;т;а;м;;;S;МАТЬ;S f anim acc sg;Ь
30756;;зовут;ЗВАТЬ;V ipf praes pl indic - 3p;;;что его мать _зовут_ Сара Алексеевна /;т;у;в;о;з;;V;ЗВАТЬ;V ipf praes pl indic - 3p;Ь
30757;;Сара;САРА;S f persn nom sg;;;его мать зовут _Сара_ Алексеевна / мой;а;р;а;с;;;S;САРА;S f anim nom sg;А
30758;;Алексеевна;АЛЕКСЕЕВНА;S f patrn nom sg;;;мать зовут Сара _Алексеевна_ / мой дед;а;н;в;е;е;с;S;АЛЕКСЕЕВНА;S f anim nom sg;А
30759;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
30760;;мой;МОЙ;APRO - nom sg plen m -;;;Сара Алексеевна / _мой_ дед / нет;й;о;м;;;;APRO;МОЙ;A - nom sg plen m -;Й
30761;;дед;ДЕД;S m anim nom sg;;;Алексеевна / мой _дед_ / нет /;д;е;д;;;;S;ДЕД;S m anim nom sg;Д
30762;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
30763;;нет;НЕТ;PART;;;мой дед / _нет_ / прадед выходит;т;е;н;;;;PART;НЕТ;PART;Т
30764;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
30765;;прадед;ПРАДЕД;S m anim nom sg;;;/ нет / _прадед_ выходит / Александр;д;е;д;а;р;п;S;ПРАДЕД;S m anim nom sg;Д
30766;;выходит;ВЫХОДИТ;PARENTH;;;нет / прадед _выходит_ / Александр Григорьевич;т;и;д;о;х;ы;V;ВЫХОДИТЬ;V ipf praes sg indic - 3p;Т
30767;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
30768;;Александр;АЛЕКСАНДР;S m persn nom sg;;;прадед выходит / _Александр_ Григорьевич / ээ;р;д;н;а;с;к;S;АЛЕКСАНДР;S m anim nom sg;Р
30769;;Григорьевич;ГРИГОРЬЕВИЧ;S m patrn nom sg;;;выходит / Александр _Григорьевич_ / ээ /;ч;и;в;е;ь;р;S;ГРИГОРЬЕВИЧ;S m anim nom sg;Ч
30770;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
30771;;ээ;ЭЭ;NONLEX;;;Александр Григорьевич / _ээ_ / смог /;э;э;;;;;NONLEX;ЭЭ;NONLEX;Э
30772;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
30773;;смог;СМОЧЬ;V pf praet sg indic m -;;;/ ээ / _смог_ / ээ /;г;о;м;с;;;V;СМОЧЬ;V pf praet sg indic m -;Ь
30774;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
30775;;ээ;ЭЭ;NONLEX;;;/ смог / _ээ_ / уехать в;э;э;;;;;NONLEX;ЭЭ;NONLEX;Э
30776;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
30777;;уехать;УЕХАТЬ;V pf - - inf - -;;;/ ээ / _уехать_ в Израиль /;ь;т;а;х;е;у;V;УЕХАТЬ;V pf - - inf - -;Ь
30778;;в;В;PR;;;ээ / уехать _в_ Израиль / э;в;;;;;;PR;В;PR;В
30779;;Израиль;ИЗРАИЛЬ;S m inan acc sg;;;/ уехать в _Израиль_ / э /;ь;л;и;а;р;з;S;ИЗРАИЛЬ;S m inan acc sg;Ь
30780;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
30781;;э;Э;INTJ;;;в Израиль / _э_ / в девяностых;э;;;;;;INTJ;Э;INTJ;Э
30782;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
30783;;в;В;PR;;;/ э / _в_ девяностых по программе;в;;;;;;PR;В;PR;В
30784;;девяностых;ДЕВЯНОСТЫЙ;ANUM - loc pl plen - -;;;э / в _девяностых_ по программе возвращения;х;ы;т;с;о;н;ANUM;ДЕВЯНОСТЫЙ;A - gen pl plen - -;Й
30785;;по;ПО;PR;;;/ в девяностых _по_ программе возвращения евреев;о;п;;;;;PR;ПО;PR;О
30786;;программе;ПРОГРАММА;S f inan dat sg;;;в девяностых по _программе_ возвращения евреев ;е;м;м;а;р;г;S;ПРОГРАММА;S f inan loc sg;А
30787;;возвращения;ВОЗВРАЩЕНИЕ;S n inan gen sg;;;девяностых по программе _возвращения_ евреев  ;я;и;н;е;щ;а;S;ВОЗВРАЩЕНИЕ;S n inan gen sg;Е
30788;;евреев;ЕВРЕЙ;S m anim gen pl;;;по программе возвращения _евреев_   ;в;е;е;р;в;е;S;ЕВРЕЙ;S m anim gen pl;Й
30789;;;;;;;;;;;;;;;;;
30790;# sent = 2369;;;;;;;;;;;;;;;;
30791;"<span class=""note"">";;;;;;;;;;;;;;;;
30792;<note>;Фыркает;;;;;;;;;;;;;;;
30793;</span>;;;;;;;;;;;;;;;;
30794;;;;;;;;;;;;;;;;;
30795;# sent = 2370;;;;;;;;;;;;;;;;
30796;;Вот;ВОТ;PART;;;   _Вот_ // Она /;т;о;в;;;;PART;ВОТ;PART;Т
30797;;//;//;PUNCT;;;;;;;;;;PUNCT;;;
30798;;Она;ОНА;SPRO sg 3p f nom;;; Вот // _Она_ / вообще /;а;н;о;;;;SPRO;ОНА;SPRO sg 3p f nom;А
30799;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
30800;;вообще;ВООБЩЕ;ADV -;;;// Она / _вообще_ / типа ;е;щ;б;о;о;в;ADV;ВООБЩЕ;ADV -;Е
30801;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
30802;;типа;ТИПА;PART;;;/ вообще / _типа_  восьмест ;а;п;и;т;;;PART;ТИПА;PART;А
30803;"<distinct form=""";;;;;;;;;;;;;;;;
30804;<dist>;восьмест;;;;;;;;;;;;;;;
30805;""">";;;;;;;;;;;;;;;;
30806;;восемьдесят;ВОСЕМЬДЕСЯТ;NUM nom - -;;; восьмест  _восемьдесят_  / третьего;т;я;с;е;д;ь;NUM;ВОСЕМЬДЕСЯТ;NUM acc - -;Т
30807;</distinct>;;;;;;;;;;;;;;;;
30808;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
30809;;третьего;ТРЕТИЙ;ANUM - gen sg plen m -;;;восемьдесят  / _третьего_ года рождения нет;о;г;е;ь;т;е;ANUM;ТРЕТИЙ;A - gen sg plen m -;Й
30810;;года;ГОД;S m inan gen sg;;; / третьего _года_ рождения нет ;а;д;о;г;;;S;ГОД;S m inan gen sg;Д
30811;;рождения;РОЖДЕНИЕ;S n inan gen sg;;;/ третьего года _рождения_ нет  восьмест;я;и;н;е;д;ж;S;РОЖДЕНИЕ;S n inan gen sg;Е
30812;;нет;НЕТ;INTJ;;;третьего года рождения _нет_  восьмест ;т;е;н;;;;ADV;НЕТ;ADV -;Т
30813;"<distinct form=""";;;;;;;;;;;;;;;;
30814;<dist>;восьмест;;;;;;;;;;;;;;;
30815;""">";;;;;;;;;;;;;;;;
30816;;восемьдесят;ВОСЕМЬДЕСЯТ;NUM nom - -;;; восьмест  _восемьдесят_  шестого наверное;т;я;с;е;д;ь;NUM;ВОСЕМЬДЕСЯТ;NUM acc - -;Т
30817;</distinct>;;;;;;;;;;;;;;;;
30818;;шестого;ШЕСТОЙ;ANUM - gen sg plen m -;;; восемьдесят  _шестого_ наверное / да;о;г;о;т;с;е;ANUM;ШЕСТОЙ;A - gen sg plen m -;Й
30819;;наверное;НАВЕРНОЕ;PARENTH;;;восемьдесят  шестого _наверное_ / да /;е;о;н;р;е;в;ADV;НАВЕРНОЕ;ADV -;Е
30820;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
30821;;да;ДА;INTJ;;;шестого наверное / _да_ / ну она;а;д;;;;;CONJ;ДА;CONJ;А
30822;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
30823;;ну;НУ;PART;;;/ да / _ну_ она вступила в;у;н;;;;;PART;НУ;PART;У
30824;;она;ОНА;SPRO sg 3p f nom;;;да / ну _она_ вступила в партию;а;н;о;;;;SPRO;ОНА;SPRO sg 3p f nom;А
30825;;вступила;ВСТУПИТЬ;V pf praet sg indic f -;;;/ ну она _вступила_ в партию /;а;л;и;п;у;т;V;ВСТУПИТЬ;V pf praet sg indic f -;Ь
30826;;в;В;PR;;;ну она вступила _в_ партию / где-то;в;;;;;;PR;В;PR;В
30827;;партию;ПАРТИЯ;S f inan acc sg;;;она вступила в _партию_ / где-то в;ю;и;т;р;а;п;S;ПАРТИЯ;S f inan acc sg;Я
30828;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
30829;;где-то;ГДЕ-ТО;ADV -;;;в партию / _где-то_ в тысяча девятьсот;о;т;-;е;д;г;ADV;ГДЕ-ТО;ADV -;О
30830;;в;В;PR;;;партию / где-то _в_ тысяча девятьсот десятом;в;;;;;;PR;В;PR;В
30831;;тысяча;ТЫСЯЧА;S f inan nom -;;;/ где-то в _тысяча_ девятьсот десятом году;а;ч;я;с;ы;т;S;ТЫСЯЧА;S f inan nom -;А
